Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
HINDALCO,HINDALCO INDUSTRIES LTD,695.25,INR,-0.7494646680942184,4179259,0.7853599265268866,1575081152520,INR,9.134804887662593,76.11,INR,57.12221304706855,0.499357968326437,Non-energy minerals,Buy
EICHERMOT,EICHER MOTORS LTD,5764,INR,0.8662175168431183,415010,0.8546762121745384,1566854276386,INR,32.7239695696605,176.14,INR,15.494065962887676,0.892755551276553,Consumer durables,Neutral
PIDILITIND,PIDILITE INDUSTRIES LTD,3085.4,INR,0.7674973055945654,386023,0.788916506133767,1556629148557,INR,72.07194580705442,42.81,INR,19.115191986644422,0.653552055421214,Process industries,Buy
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,14136,INR,1.5736150032334555,26389,0.4047237452551666,1549901355972,INR,18.73642334985671,754.4663,INR,12.523844338194529,0.66780360829369,Finance,Neutral
LTIM,LTIMINDTREE LTD,5108,INR,-0.12708964708182618,493674,2.580348075247477,1516023613968,INR,32.10963037465426,159.08,INR,3.3926946574808254,1.27089647081826,Technology services,Buy
TECHM,TECH MAHINDRA LTD,1486.7,INR,-1.3012016198632352,1715172,1.0239648827803154,1478062561923,INR,29.04278179331901,51.19,INR,80.37350246652572,2.98141584125617,Technology services,Neutral
ADANIGREEN,ADANI GREEN ENERGY LTD,917.5,INR,-0.7195801547367827,1031515,0.601289381185751,1463804367504,INR,87.4934439517475,10.4865,INR,35.71068059168381,0,Utilities,Strong buy
TVSMOTOR,TVS MOTOR COMPANY LTD,3020.3,INR,0.03643349231585731,1075908,0.9316976081381221,1434691908936,INR,60.143174328185836,50.2185,INR,39.2811082913841,0.331142275278573,Consumer durables,Buy
AMBUJACEM,AMBUJA CEMENTS LTD,578.05,INR,-0.48205216493071673,1974038,0.900225800011255,1430335866933,INR,32.993344824830764,17.5202,INR,16.4906914893617,0.344411916652316,Non-energy minerals,Buy
BPCL,BHARAT PETROLEUM CORP LTD,318.05,INR,-1.3798449612403065,10549386,1.9199715820387213,1400457817157,INR,7.839459310236035,40.5704,INR,-8.608140710988769,3.09789343246592,Energy minerals,Buy
PFC,POWER FIN CORP LTD.,416.5,INR,-0.2992220227408737,3680607,0.6375749802237096,1378452564918,INR,5.653106901405201,73.6763,INR,17.2911204188815,3.78261910462054,Finance,Strong buy
SOLARINDS,SOLAR INDUSTRIES (I) LTD,15100,INR,0.4056120752709622,82095,0.5057309396819061,1360762261650,INR,108.30001255132595,139.4275,INR,36.40076698069832,0.0664995311783052,Process industries,Buy
